type,actor_name,message_type_or_count,value
LATENCY,dataShard-0,ReadyToProcess,16
LATENCY,dataShard-2,ReadyToProcess,43
LATENCY,dataShard-3,ReadyToProcess,13
LATENCY,dataShard-4,ReadyToProcess,58
LATENCY,dataShard-1,ReadyToProcess,17
LOAD,dataShard-1,COUNT,1
LOAD,dataShard-2,COUNT,1
LOAD,dataShard-4,COUNT,1
LOAD,dataShard-0,COUNT,1
LOAD,dataShard-3,COUNT,1
LATENCY,ParameterShardActor,FetchLatest,4998
LOAD,ParameterShardActor,COUNT,1
LATENCY,ParameterShardActor,FetchLatest,862
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-4,ParameterReceived,1704
LATENCY,dataShard-1,ParameterReceived,576
LOAD,dataShard-4,COUNT,1
LOAD,dataShard-1,COUNT,1
LATENCY,ParameterShardActor,FetchLatest,1674
LOAD,ParameterShardActor,COUNT,1
LATENCY,ParameterShardActor,FetchLatest,1245
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-2,ParameterReceived,233
LOAD,dataShard-2,COUNT,1
LATENCY,dataShard-3,ParameterReceived,688
LOAD,dataShard-3,COUNT,1
LATENCY,ParameterShardActor,FetchLatest,1441
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-0,ParameterReceived,156
LOAD,dataShard-0,COUNT,1
LATENCY,encoder-dataShard-4,ForwardPass,429218
LOAD,encoder-dataShard-4,COUNT,1
LATENCY,encoder-dataShard-3,ForwardPass,429702
LOAD,encoder-dataShard-3,COUNT,1
LATENCY,encoder-dataShard-2,ForwardPass,429243
LOAD,encoder-dataShard-2,COUNT,1
LATENCY,encoder-dataShard-1,ForwardPass,430108
LOAD,encoder-dataShard-1,COUNT,1
LATENCY,encoder-dataShard-0,ForwardPass,430669
LOAD,encoder-dataShard-0,COUNT,1
LATENCY,latent-dataShard-3,Reparametize,19787
LATENCY,latent-dataShard-4,Reparametize,19911
LATENCY,latent-dataShard-0,Reparametize,19879
LOAD,latent-dataShard-0,COUNT,1
LOAD,latent-dataShard-3,COUNT,1
LATENCY,latent-dataShard-2,Reparametize,20137
LOAD,latent-dataShard-4,COUNT,1
LOAD,latent-dataShard-2,COUNT,1
LATENCY,latent-dataShard-1,Reparametize,20494
LOAD,latent-dataShard-1,COUNT,1
LATENCY,decoder-dataShard-2,Decode,2172
LATENCY,decoder-dataShard-3,Decode,2738
LATENCY,decoder-dataShard-0,Decode,2907
LATENCY,decoder-dataShard-4,Decode,2705
LOAD,decoder-dataShard-4,COUNT,1
LOAD,decoder-dataShard-0,COUNT,1
LOAD,decoder-dataShard-3,COUNT,1
LOAD,decoder-dataShard-2,COUNT,1
LATENCY,decoder-dataShard-1,Decode,2732
LOAD,decoder-dataShard-1,COUNT,1
LATENCY,dataShard-4,ComputeLossWithReply,30366
LATENCY,dataShard-3,ComputeLossWithReply,30366
LATENCY,dataShard-0,ComputeLossWithReply,30366
LOAD,dataShard-3,COUNT,1
LOAD,dataShard-4,COUNT,1
LOAD,dataShard-0,COUNT,1
LATENCY,dataShard-1,ComputeLossWithReply,32202
LOAD,dataShard-1,COUNT,1
LATENCY,dataShard-2,ComputeLossWithReply,35307
LOAD,dataShard-2,COUNT,1
LATENCY,decoder-dataShard-0,LossResponse,55801
LATENCY,decoder-dataShard-4,LossResponse,55801
LOAD,decoder-dataShard-4,COUNT,1
LOAD,decoder-dataShard-0,COUNT,1
LATENCY,decoder-dataShard-1,LossResponse,55071
LATENCY,decoder-dataShard-3,LossResponse,56892
LOAD,decoder-dataShard-1,COUNT,1
LOAD,decoder-dataShard-3,COUNT,1
LATENCY,decoder-dataShard-2,LossResponse,52727
LOAD,decoder-dataShard-2,COUNT,1
LATENCY,latent-dataShard-0,Backward,3923
LOAD,latent-dataShard-0,COUNT,1
LATENCY,latent-dataShard-4,Backward,7872
LOAD,latent-dataShard-4,COUNT,1
LATENCY,latent-dataShard-1,Backward,6077
LOAD,latent-dataShard-1,COUNT,1
LATENCY,encoder-dataShard-0,Backward,7135
LOAD,encoder-dataShard-0,COUNT,1
LATENCY,latent-dataShard-3,Backward,10284
LOAD,latent-dataShard-3,COUNT,1
LATENCY,dataShard-0,DataPointProcessed,66
LOAD,dataShard-0,COUNT,1
LATENCY,latent-dataShard-2,Backward,9455
LOAD,latent-dataShard-2,COUNT,1
LATENCY,encoder-dataShard-4,Backward,3739
LOAD,encoder-dataShard-4,COUNT,1
LATENCY,dataShard-4,DataPointProcessed,15
LOAD,dataShard-4,COUNT,1
LATENCY,encoder-dataShard-3,Backward,3018
LOAD,encoder-dataShard-3,COUNT,1
LATENCY,dataShard-3,DataPointProcessed,23
LOAD,dataShard-3,COUNT,1
LATENCY,ParameterShardActor,Gradient,4659
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-0,ParameterReceived,48
LOAD,dataShard-0,COUNT,1
LATENCY,encoder-dataShard-2,Backward,5963
LOAD,encoder-dataShard-2,COUNT,1
LATENCY,dataShard-2,DataPointProcessed,20
LOAD,dataShard-2,COUNT,1
LATENCY,ParameterShardActor,Gradient,4731
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-4,ParameterReceived,60
LOAD,dataShard-4,COUNT,1
LATENCY,encoder-dataShard-0,ForwardPass,8723
LOAD,encoder-dataShard-0,COUNT,1
LATENCY,ParameterShardActor,Gradient,4825
LOAD,ParameterShardActor,COUNT,1
LATENCY,latent-dataShard-0,Reparametize,1018
LOAD,latent-dataShard-0,COUNT,1
LATENCY,dataShard-3,ParameterReceived,54
LOAD,dataShard-3,COUNT,1
LATENCY,encoder-dataShard-1,Backward,18974
LOAD,encoder-dataShard-1,COUNT,1
LATENCY,dataShard-1,DataPointProcessed,23
LOAD,dataShard-1,COUNT,1
LATENCY,decoder-dataShard-0,Decode,1276
LOAD,decoder-dataShard-0,COUNT,1
LATENCY,encoder-dataShard-3,ForwardPass,1609
LOAD,encoder-dataShard-3,COUNT,1
LATENCY,latent-dataShard-3,Reparametize,1081
LOAD,latent-dataShard-3,COUNT,1
LATENCY,ParameterShardActor,Gradient,4671
LATENCY,decoder-dataShard-3,Decode,1347
LOAD,ParameterShardActor,COUNT,1
LOAD,decoder-dataShard-3,COUNT,1
LATENCY,dataShard-0,ComputeLossWithReply,4969
LOAD,dataShard-0,COUNT,1
LATENCY,ParameterShardActor,Gradient,4806
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-2,ParameterReceived,829
LOAD,dataShard-2,COUNT,1
LATENCY,dataShard-1,ParameterReceived,34
LOAD,dataShard-1,COUNT,1
LATENCY,dataShard-3,ComputeLossWithReply,5140
LOAD,dataShard-3,COUNT,1
LATENCY,decoder-dataShard-0,LossResponse,3480
LOAD,decoder-dataShard-0,COUNT,1
LATENCY,latent-dataShard-0,Backward,1809
LOAD,latent-dataShard-0,COUNT,1
LATENCY,decoder-dataShard-3,LossResponse,3731
LOAD,decoder-dataShard-3,COUNT,1
LATENCY,encoder-dataShard-4,ForwardPass,16612
LOAD,encoder-dataShard-4,COUNT,1
LATENCY,latent-dataShard-4,Reparametize,1080
LATENCY,encoder-dataShard-0,Backward,3009
LOAD,latent-dataShard-4,COUNT,1
LOAD,encoder-dataShard-0,COUNT,1
LATENCY,dataShard-0,DataPointProcessed,20
LOAD,dataShard-0,COUNT,1
LATENCY,latent-dataShard-3,Backward,1912
LOAD,latent-dataShard-3,COUNT,1
LATENCY,decoder-dataShard-4,Decode,1077
LOAD,decoder-dataShard-4,COUNT,1
LATENCY,encoder-dataShard-3,Backward,2633
LOAD,encoder-dataShard-3,COUNT,1
LATENCY,dataShard-3,DataPointProcessed,18
LOAD,dataShard-3,COUNT,1
LATENCY,ParameterShardActor,Gradient,4485
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-0,ParameterReceived,28
LOAD,dataShard-0,COUNT,1
LATENCY,dataShard-4,ComputeLossWithReply,5496
LOAD,dataShard-4,COUNT,1
LATENCY,decoder-dataShard-4,LossResponse,4348
LOAD,decoder-dataShard-4,COUNT,1
LATENCY,ParameterShardActor,Gradient,7670
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-3,ParameterReceived,25
LOAD,dataShard-3,COUNT,1
LATENCY,latent-dataShard-4,Backward,1875
LOAD,latent-dataShard-4,COUNT,1
LATENCY,encoder-dataShard-3,ForwardPass,1624
LOAD,encoder-dataShard-3,COUNT,1
LATENCY,latent-dataShard-3,Reparametize,1018
LOAD,latent-dataShard-3,COUNT,1
LATENCY,encoder-dataShard-4,Backward,2600
LOAD,encoder-dataShard-4,COUNT,1
LATENCY,dataShard-4,DataPointProcessed,21
LOAD,dataShard-4,COUNT,1
LATENCY,decoder-dataShard-3,Decode,1128
LOAD,decoder-dataShard-3,COUNT,1
LATENCY,ParameterShardActor,Gradient,4372
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-4,ParameterReceived,24
LOAD,dataShard-4,COUNT,1
LATENCY,dataShard-3,ComputeLossWithReply,4440
LOAD,dataShard-3,COUNT,1
LATENCY,encoder-dataShard-1,ForwardPass,26651
LOAD,encoder-dataShard-1,COUNT,1
LATENCY,latent-dataShard-1,Reparametize,1131
LOAD,latent-dataShard-1,COUNT,1
LATENCY,encoder-dataShard-0,ForwardPass,18580
LOAD,encoder-dataShard-0,COUNT,1
LATENCY,decoder-dataShard-1,Decode,1616
LOAD,decoder-dataShard-1,COUNT,1
LATENCY,latent-dataShard-0,Reparametize,1229
LOAD,latent-dataShard-0,COUNT,1
LATENCY,encoder-dataShard-2,ForwardPass,27455
LOAD,encoder-dataShard-2,COUNT,1
LATENCY,encoder-dataShard-4,ForwardPass,4457
LOAD,encoder-dataShard-4,COUNT,1
LATENCY,decoder-dataShard-0,Decode,1745
LOAD,decoder-dataShard-0,COUNT,1
LATENCY,decoder-dataShard-3,LossResponse,6986
LOAD,decoder-dataShard-3,COUNT,1
LATENCY,latent-dataShard-2,Reparametize,3457
LOAD,latent-dataShard-2,COUNT,1
LATENCY,latent-dataShard-4,Reparametize,3625
LOAD,latent-dataShard-4,COUNT,1
LATENCY,latent-dataShard-3,Backward,2797
LOAD,latent-dataShard-3,COUNT,1
LATENCY,dataShard-1,ComputeLossWithReply,7763
LOAD,dataShard-1,COUNT,1
LATENCY,encoder-dataShard-3,Backward,2983
LOAD,encoder-dataShard-3,COUNT,1
LATENCY,dataShard-3,DataPointProcessed,23
LOAD,dataShard-3,COUNT,1
LATENCY,decoder-dataShard-1,LossResponse,3386
LOAD,decoder-dataShard-1,COUNT,1
LATENCY,decoder-dataShard-2,Decode,7598
LOAD,decoder-dataShard-2,COUNT,1
LATENCY,latent-dataShard-1,Backward,2162
LOAD,latent-dataShard-1,COUNT,1
LATENCY,ParameterShardActor,Gradient,4925
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-3,ParameterReceived,32
LOAD,dataShard-3,COUNT,1
LATENCY,decoder-dataShard-4,Decode,10786
LOAD,decoder-dataShard-4,COUNT,1
LATENCY,dataShard-0,ComputeLossWithReply,13883
LOAD,dataShard-0,COUNT,1
LATENCY,encoder-dataShard-1,Backward,3185
LOAD,encoder-dataShard-1,COUNT,1
LATENCY,dataShard-1,DataPointProcessed,20
LOAD,dataShard-1,COUNT,1
LATENCY,dataShard-2,ComputeLossWithReply,6208
LOAD,dataShard-2,COUNT,1
LATENCY,decoder-dataShard-0,LossResponse,4021
LOAD,decoder-dataShard-0,COUNT,1
LATENCY,dataShard-4,ComputeLossWithReply,4568
LOAD,dataShard-4,COUNT,1
LATENCY,ParameterShardActor,Gradient,3876
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-1,ParameterReceived,24
LOAD,dataShard-1,COUNT,1
LATENCY,encoder-dataShard-3,ForwardPass,6703
LOAD,encoder-dataShard-3,COUNT,1
LATENCY,decoder-dataShard-2,LossResponse,3366
LOAD,decoder-dataShard-2,COUNT,1
LATENCY,latent-dataShard-0,Backward,2002
LOAD,latent-dataShard-0,COUNT,1
LATENCY,latent-dataShard-2,Backward,1912
LOAD,latent-dataShard-2,COUNT,1
LATENCY,latent-dataShard-3,Reparametize,2474
LOAD,latent-dataShard-3,COUNT,1
LATENCY,decoder-dataShard-4,LossResponse,3733
LOAD,decoder-dataShard-4,COUNT,1
LATENCY,encoder-dataShard-1,ForwardPass,3473
LOAD,encoder-dataShard-1,COUNT,1
LATENCY,latent-dataShard-1,Reparametize,1042
LOAD,latent-dataShard-1,COUNT,1
LATENCY,latent-dataShard-4,Backward,1807
LOAD,latent-dataShard-4,COUNT,1
LATENCY,encoder-dataShard-2,Backward,2822
LOAD,encoder-dataShard-2,COUNT,1
LATENCY,dataShard-2,DataPointProcessed,22
LOAD,dataShard-2,COUNT,1
LATENCY,encoder-dataShard-4,Backward,2820
LOAD,encoder-dataShard-4,COUNT,1
LATENCY,dataShard-4,DataPointProcessed,17
LOAD,dataShard-4,COUNT,1
LATENCY,encoder-dataShard-0,Backward,7597
LOAD,encoder-dataShard-0,COUNT,1
LATENCY,dataShard-0,DataPointProcessed,21
LOAD,dataShard-0,COUNT,1
LATENCY,ParameterShardActor,Gradient,4459
LATENCY,dataShard-2,ParameterReceived,44
LOAD,dataShard-2,COUNT,1
LOAD,ParameterShardActor,COUNT,1
LATENCY,decoder-dataShard-1,Decode,7036
LOAD,decoder-dataShard-1,COUNT,1
LATENCY,ParameterShardActor,Gradient,4222
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-1,ComputeLossWithReply,4382
LOAD,dataShard-1,COUNT,1
LATENCY,dataShard-4,ParameterReceived,31
LOAD,dataShard-4,COUNT,1
LATENCY,ParameterShardActor,Gradient,3857
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-0,ParameterReceived,35
LOAD,dataShard-0,COUNT,1
LATENCY,decoder-dataShard-1,LossResponse,3274
LOAD,decoder-dataShard-1,COUNT,1
LATENCY,encoder-dataShard-0,ForwardPass,1547
LOAD,encoder-dataShard-0,COUNT,1
LATENCY,latent-dataShard-1,Backward,1644
LOAD,latent-dataShard-1,COUNT,1
LATENCY,latent-dataShard-0,Reparametize,1007
LOAD,latent-dataShard-0,COUNT,1
LATENCY,decoder-dataShard-0,Decode,1092
LOAD,decoder-dataShard-0,COUNT,1
LATENCY,encoder-dataShard-1,Backward,2830
LOAD,encoder-dataShard-1,COUNT,1
LATENCY,dataShard-1,DataPointProcessed,26
LOAD,dataShard-1,COUNT,1
LATENCY,encoder-dataShard-4,ForwardPass,8523
LOAD,encoder-dataShard-4,COUNT,1
LATENCY,latent-dataShard-4,Reparametize,13246
LOAD,latent-dataShard-4,COUNT,1
LATENCY,encoder-dataShard-2,ForwardPass,28257
LOAD,encoder-dataShard-2,COUNT,1
LATENCY,dataShard-0,ComputeLossWithReply,16159
LOAD,dataShard-0,COUNT,1
LATENCY,latent-dataShard-2,Reparametize,1041
LOAD,latent-dataShard-2,COUNT,1
LATENCY,ParameterShardActor,Gradient,15970
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-1,ParameterReceived,22
LOAD,dataShard-1,COUNT,1
LATENCY,decoder-dataShard-2,Decode,989
LOAD,decoder-dataShard-2,COUNT,1
LATENCY,encoder-dataShard-1,ForwardPass,3021
LOAD,encoder-dataShard-1,COUNT,1
LATENCY,dataShard-2,ComputeLossWithReply,3840
LOAD,dataShard-2,COUNT,1
LATENCY,latent-dataShard-1,Reparametize,3282
LOAD,latent-dataShard-1,COUNT,1
LATENCY,decoder-dataShard-2,LossResponse,3029
LOAD,decoder-dataShard-2,COUNT,1
LATENCY,decoder-dataShard-1,Decode,2079
LOAD,decoder-dataShard-1,COUNT,1
LATENCY,latent-dataShard-2,Backward,1971
LOAD,latent-dataShard-2,COUNT,1
LATENCY,dataShard-3,ComputeLossWithReply,3908
LOAD,dataShard-3,COUNT,1
LATENCY,dataShard-1,ComputeLossWithReply,3771
LOAD,dataShard-1,COUNT,1
LATENCY,encoder-dataShard-2,Backward,3469
LOAD,encoder-dataShard-2,COUNT,1
LATENCY,dataShard-2,DataPointProcessed,42
LOAD,dataShard-2,COUNT,1
LATENCY,decoder-dataShard-3,Decode,44249
LOAD,decoder-dataShard-3,COUNT,1
LATENCY,decoder-dataShard-1,LossResponse,3176
LOAD,decoder-dataShard-1,COUNT,1
LATENCY,ParameterShardActor,Gradient,3712
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-2,ParameterReceived,29
LOAD,dataShard-2,COUNT,1
LATENCY,latent-dataShard-1,Backward,1733
LOAD,latent-dataShard-1,COUNT,1
LATENCY,encoder-dataShard-2,ForwardPass,1826
LOAD,encoder-dataShard-2,COUNT,1
LATENCY,latent-dataShard-2,Reparametize,934
LATENCY,encoder-dataShard-1,Backward,2687
LOAD,latent-dataShard-2,COUNT,1
LOAD,encoder-dataShard-1,COUNT,1
LATENCY,dataShard-1,DataPointProcessed,18
LOAD,dataShard-1,COUNT,1
LATENCY,decoder-dataShard-3,LossResponse,4515
LOAD,decoder-dataShard-3,COUNT,1
LATENCY,decoder-dataShard-2,Decode,1096
LOAD,decoder-dataShard-2,COUNT,1
LATENCY,latent-dataShard-3,Backward,1489
LOAD,latent-dataShard-3,COUNT,1
LATENCY,decoder-dataShard-4,Decode,25225
LOAD,decoder-dataShard-4,COUNT,1
LATENCY,dataShard-2,ComputeLossWithReply,3941
LOAD,dataShard-2,COUNT,1
LATENCY,decoder-dataShard-0,LossResponse,24757
LOAD,decoder-dataShard-0,COUNT,1
LATENCY,ParameterShardActor,Gradient,9010
LOAD,ParameterShardActor,COUNT,1
LATENCY,decoder-dataShard-2,LossResponse,3952
LOAD,decoder-dataShard-2,COUNT,1
LATENCY,dataShard-4,ComputeLossWithReply,6982
LOAD,dataShard-4,COUNT,1
LATENCY,encoder-dataShard-3,Backward,8569
LOAD,encoder-dataShard-3,COUNT,1
LATENCY,dataShard-3,DataPointProcessed,19
LOAD,dataShard-3,COUNT,1
LATENCY,latent-dataShard-2,Backward,2053
LOAD,latent-dataShard-2,COUNT,1
LATENCY,decoder-dataShard-4,LossResponse,2770
LOAD,decoder-dataShard-4,COUNT,1
LATENCY,encoder-dataShard-2,Backward,2807
LOAD,encoder-dataShard-2,COUNT,1
LATENCY,dataShard-2,DataPointProcessed,18
LOAD,dataShard-2,COUNT,1
LATENCY,latent-dataShard-4,Backward,1974
LOAD,latent-dataShard-4,COUNT,1
LATENCY,dataShard-1,ParameterReceived,5143
LOAD,dataShard-1,COUNT,1
LATENCY,latent-dataShard-0,Backward,9263
LOAD,latent-dataShard-0,COUNT,1
LATENCY,ParameterShardActor,Gradient,6802
LOAD,ParameterShardActor,COUNT,1
LATENCY,encoder-dataShard-4,Backward,3358
LOAD,encoder-dataShard-4,COUNT,1
LATENCY,dataShard-4,DataPointProcessed,12
LOAD,dataShard-4,COUNT,1
LATENCY,dataShard-3,ParameterReceived,29
LOAD,dataShard-3,COUNT,1
LATENCY,encoder-dataShard-1,ForwardPass,7088
LOAD,encoder-dataShard-1,COUNT,1
LATENCY,ParameterShardActor,Gradient,2962
LOAD,ParameterShardActor,COUNT,1
LATENCY,encoder-dataShard-0,Backward,2200
LOAD,encoder-dataShard-0,COUNT,1
LATENCY,dataShard-0,DataPointProcessed,16
LOAD,dataShard-0,COUNT,1
LATENCY,dataShard-2,ParameterReceived,29
LOAD,dataShard-2,COUNT,1
LATENCY,latent-dataShard-1,Reparametize,823
LOAD,latent-dataShard-1,COUNT,1
LATENCY,encoder-dataShard-3,ForwardPass,3549
LOAD,encoder-dataShard-3,COUNT,1
LATENCY,decoder-dataShard-1,Decode,913
LOAD,decoder-dataShard-1,COUNT,1
LATENCY,latent-dataShard-3,Reparametize,1621
LOAD,latent-dataShard-3,COUNT,1
LATENCY,ParameterShardActor,Gradient,2843
LOAD,ParameterShardActor,COUNT,1
LATENCY,decoder-dataShard-3,Decode,968
LOAD,decoder-dataShard-3,COUNT,1
LATENCY,dataShard-4,ParameterReceived,512
LOAD,dataShard-4,COUNT,1
LATENCY,ParameterShardActor,Gradient,2954
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-0,ParameterReceived,39
LOAD,dataShard-0,COUNT,1
LATENCY,dataShard-1,ComputeLossWithReply,4085
LOAD,dataShard-1,COUNT,1
LATENCY,dataShard-3,ComputeLossWithReply,3733
LOAD,dataShard-3,COUNT,1
LATENCY,encoder-dataShard-2,ForwardPass,7270
LOAD,encoder-dataShard-2,COUNT,1
LATENCY,latent-dataShard-2,Reparametize,1303
LOAD,latent-dataShard-2,COUNT,1
LATENCY,decoder-dataShard-1,LossResponse,3110
LOAD,decoder-dataShard-1,COUNT,1
LATENCY,encoder-dataShard-0,ForwardPass,3442
LOAD,encoder-dataShard-0,COUNT,1
LATENCY,decoder-dataShard-2,Decode,925
LOAD,decoder-dataShard-2,COUNT,1
LATENCY,decoder-dataShard-3,LossResponse,2753
LATENCY,latent-dataShard-0,Reparametize,717
LOAD,latent-dataShard-0,COUNT,1
LOAD,decoder-dataShard-3,COUNT,1
LATENCY,decoder-dataShard-0,Decode,1506
LOAD,decoder-dataShard-0,COUNT,1
LATENCY,latent-dataShard-3,Backward,1712
LOAD,latent-dataShard-3,COUNT,1
LATENCY,encoder-dataShard-4,ForwardPass,7942
LOAD,encoder-dataShard-4,COUNT,1
LATENCY,latent-dataShard-1,Backward,2904
LATENCY,dataShard-2,ComputeLossWithReply,4684
LOAD,dataShard-2,COUNT,1
LATENCY,encoder-dataShard-3,Backward,3267
LOAD,encoder-dataShard-3,COUNT,1
LATENCY,dataShard-3,DataPointProcessed,37
LOAD,dataShard-3,COUNT,1
LATENCY,dataShard-0,ComputeLossWithReply,3867
LOAD,dataShard-0,COUNT,1
LATENCY,decoder-dataShard-2,LossResponse,3303
LOAD,decoder-dataShard-2,COUNT,1
LATENCY,ParameterShardActor,Gradient,2747
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-3,ParameterReceived,102
LOAD,dataShard-3,COUNT,1
LOAD,latent-dataShard-1,COUNT,1
LATENCY,decoder-dataShard-0,LossResponse,2667
LOAD,decoder-dataShard-0,COUNT,1
LATENCY,latent-dataShard-0,Backward,1419
LOAD,latent-dataShard-0,COUNT,1
LATENCY,latent-dataShard-2,Backward,2077
LOAD,latent-dataShard-2,COUNT,1
LATENCY,encoder-dataShard-0,Backward,2922
LOAD,encoder-dataShard-0,COUNT,1
LATENCY,dataShard-0,DataPointProcessed,17
LOAD,dataShard-0,COUNT,1
LATENCY,latent-dataShard-4,Reparametize,11267
LOAD,latent-dataShard-4,COUNT,1
LATENCY,encoder-dataShard-2,Backward,3673
LOAD,encoder-dataShard-2,COUNT,1
LATENCY,dataShard-2,DataPointProcessed,15
LOAD,dataShard-2,COUNT,1
LATENCY,ParameterShardActor,Gradient,4971
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-0,ParameterReceived,66
LOAD,dataShard-0,COUNT,1
LATENCY,encoder-dataShard-3,ForwardPass,10691
LATENCY,decoder-dataShard-4,Decode,5229
LOAD,decoder-dataShard-4,COUNT,1
LOAD,encoder-dataShard-3,COUNT,1
LATENCY,latent-dataShard-3,Reparametize,1145
LOAD,latent-dataShard-3,COUNT,1
LATENCY,encoder-dataShard-0,ForwardPass,2724
LOAD,encoder-dataShard-0,COUNT,1
LATENCY,ParameterShardActor,Gradient,3306
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-2,ParameterReceived,27
LOAD,dataShard-2,COUNT,1
LATENCY,latent-dataShard-0,Reparametize,651
LOAD,latent-dataShard-0,COUNT,1
LATENCY,encoder-dataShard-2,ForwardPass,1117
LOAD,encoder-dataShard-2,COUNT,1
LATENCY,decoder-dataShard-0,Decode,919
LOAD,decoder-dataShard-0,COUNT,1
LATENCY,latent-dataShard-2,Reparametize,628
LOAD,latent-dataShard-2,COUNT,1
LATENCY,decoder-dataShard-2,Decode,1231
LOAD,decoder-dataShard-2,COUNT,1
LATENCY,dataShard-4,ComputeLossWithReply,6758
LOAD,dataShard-4,COUNT,1
LATENCY,dataShard-0,ComputeLossWithReply,3554
LOAD,dataShard-0,COUNT,1
LATENCY,decoder-dataShard-3,Decode,8281
LOAD,decoder-dataShard-3,COUNT,1
LATENCY,dataShard-2,ComputeLossWithReply,3937
LOAD,dataShard-2,COUNT,1
LATENCY,decoder-dataShard-0,LossResponse,3963
LOAD,decoder-dataShard-0,COUNT,1
LATENCY,encoder-dataShard-1,Backward,29099
LOAD,encoder-dataShard-1,COUNT,1
LATENCY,dataShard-1,DataPointProcessed,30
LOAD,dataShard-1,COUNT,1
LATENCY,latent-dataShard-0,Backward,2414
LOAD,latent-dataShard-0,COUNT,1
LATENCY,ParameterShardActor,Gradient,3564
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-1,ParameterReceived,30
LOAD,dataShard-1,COUNT,1
LATENCY,dataShard-3,ComputeLossWithReply,6998
LOAD,dataShard-3,COUNT,1
LATENCY,encoder-dataShard-0,Backward,2916
LOAD,encoder-dataShard-0,COUNT,1
LATENCY,dataShard-0,DataPointProcessed,28
LOAD,dataShard-0,COUNT,1
LATENCY,decoder-dataShard-4,LossResponse,12419
LOAD,decoder-dataShard-4,COUNT,1
LATENCY,decoder-dataShard-3,LossResponse,2765
LOAD,decoder-dataShard-3,COUNT,1
LATENCY,ParameterShardActor,Gradient,2615
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-0,ParameterReceived,34
LOAD,dataShard-0,COUNT,1
LATENCY,encoder-dataShard-0,ForwardPass,1788
LOAD,encoder-dataShard-0,COUNT,1
LATENCY,latent-dataShard-3,Backward,2433
LOAD,latent-dataShard-3,COUNT,1
LATENCY,encoder-dataShard-1,ForwardPass,6031
LOAD,encoder-dataShard-1,COUNT,1
LATENCY,latent-dataShard-0,Reparametize,684
LOAD,latent-dataShard-0,COUNT,1
LATENCY,latent-dataShard-1,Reparametize,672
LOAD,latent-dataShard-1,COUNT,1
LATENCY,latent-dataShard-4,Backward,3175
LATENCY,decoder-dataShard-0,Decode,1773
LOAD,decoder-dataShard-0,COUNT,1
LATENCY,encoder-dataShard-3,Backward,2162
LOAD,encoder-dataShard-3,COUNT,1
LATENCY,dataShard-3,DataPointProcessed,15
LOAD,dataShard-3,COUNT,1
LOAD,latent-dataShard-4,COUNT,1
LATENCY,decoder-dataShard-2,LossResponse,15191
LOAD,decoder-dataShard-2,COUNT,1
LATENCY,decoder-dataShard-1,Decode,4376
LOAD,decoder-dataShard-1,COUNT,1
LATENCY,dataShard-0,ComputeLossWithReply,4119
LOAD,dataShard-0,COUNT,1
LATENCY,ParameterShardActor,Gradient,4895
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-3,ParameterReceived,36
LOAD,dataShard-3,COUNT,1
LATENCY,dataShard-1,ComputeLossWithReply,4637
LOAD,dataShard-1,COUNT,1
LATENCY,decoder-dataShard-0,LossResponse,3820
LOAD,decoder-dataShard-0,COUNT,1
LATENCY,decoder-dataShard-1,LossResponse,3236
LOAD,decoder-dataShard-1,COUNT,1
LATENCY,latent-dataShard-1,Backward,3645
LOAD,latent-dataShard-1,COUNT,1
LATENCY,encoder-dataShard-1,Backward,2210
LOAD,encoder-dataShard-1,COUNT,1
LATENCY,dataShard-1,DataPointProcessed,36
LOAD,dataShard-1,COUNT,1
LATENCY,encoder-dataShard-4,Backward,22166
LOAD,encoder-dataShard-4,COUNT,1
LATENCY,dataShard-4,DataPointProcessed,16
LOAD,dataShard-4,COUNT,1
LATENCY,ParameterShardActor,Gradient,6073
LOAD,ParameterShardActor,COUNT,1
LATENCY,dataShard-1,ParameterReceived,44
LOAD,dataShard-1,COUNT,1
LATENCY,latent-dataShard-0,Backward,14830
LOAD,latent-dataShard-0,COUNT,1
